"latenttrait","CryptoMiniSat_Strange-Night2-st_fixed_","EBGlucose_1.0","glucose_2","glueminisat_2.2.5","Lingeling_587f_fixed_","minisathackcir_minisat_2011-05-13_simp_","minisathackcontrasat_2011-03-02","minisathackEBMiniSAT_2011-03-02","minisathackLR_GL_SHR_2011-03-02","minisathackMiniSAT_2.2.0-agile-26","minisathackminisat_psm_2011-04-01","minisathackreferenceminisat_2.2.0","MPhaseSAT64_2011-05-14_fixed_","QuteRSat_2011-05-12_fixed_","rcl_2011-04-01","RestartSAT_B95","SAT09referencesolverglucose_1.0","SAT09referencesolverprecosat_236"
-1.43295285110827,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
-1.36932406660316,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
-1.30569528209805,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
-1.24206649759294,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
-1.17843771308783,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
-1.11480892858272,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
-1.05118014407761,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
-0.987551359572494,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
-0.923922575067383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
-0.860293790562272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
-0.79666500605716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
-0.733036221552049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
-0.669407437046938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
-0.605778652541827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
-0.542149868036715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
-0.478521083531604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
-0.414892299026493,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
-0.351263514521382,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
-0.28763473001627,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
-0.224005945511159,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
-0.160377161006048,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
-0.0967483765009367,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
-0.0331195919958256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0.0305091925092857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0.0941379770143971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0.157766761519508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0.22139554602462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.285024330529731,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.348653115034842,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.412281899539953,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.475910684045064,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.539539468550176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.603168253055287,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.666797037560398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.73042582206551,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.794054606570621,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.857683391075732,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.921312175580843,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.984940960085954,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.04856974459107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.11219852909618,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
1.17582731360129,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
1.2394560981064,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
1.30308488261151,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1.36671366711662,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1.43034245162173,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49397123612684,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1.55760002063196,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1.62122880513707,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1.68485758964218,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1.74848637414729,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1.8121151586524,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
1.87574394315751,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
1.93937272766262,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
2.00300151216773,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
2.06663029667285,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
2.13025908117796,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
2.19388786568307,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
2.25751665018818,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
2.32114543469329,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
2.3847742191984,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
2.44840300370351,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
2.51203178820862,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
2.57566057271374,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
2.63928935721885,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
2.70291814172396,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
2.76654692622907,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
2.83017571073418,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
2.89380449523929,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
2.9574332797444,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
3.02106206424951,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
3.08469084875462,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
3.14831963325974,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
3.21194841776485,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
3.27557720226996,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
3.33920598677507,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
3.40283477128018,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
3.46646355578529,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
3.5300923402904,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
3.59372112479551,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
